s,p,o
футбол,недолік,травми
катання на велосипеді,недолік,потреба в обладнанні
теніс,недолік,потреба в спеціальному обладнанні
бокс,недолік,високий ризик травм
катання на велосипеді,перевага,поліпшення витривалості
волейбол,недолік,можливість травм колін
теніс,перевага,покращення реакції
плавання,недолік,можливість отримання травм
бокс,перевага,покращення фізичної форми
баскетбол,недолік,високі вимоги до фізичної підготовки
волейбол,перевага,розвиток командних навичок
йога,недолік,потреба в часі для навчання
гімнастика,недолік,високі вимоги до фізичної підготовки
баскетбол,перевага,розвиток координації
плавання,перевага,вплив на всі групи м'язів
йога,перевага,зниження стресу
гімнастика,перевага,покращення гнучкості
футбол,перевага,командна гра
